Dendrometer,Timestamp,Radius,max,twd,gro_yr,frost,flags,version
FB6a,2022-12-29T16:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T17:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T17:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T17:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T17:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T18:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T18:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T18:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T18:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T19:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T19:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T19:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T19:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T20:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T20:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T20:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T20:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T21:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T21:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T21:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T21:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T22:00:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T22:15:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T22:30:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T22:45:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T23:00:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T23:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T23:30:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-29T23:45:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T00:00:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T00:15:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T00:30:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T00:45:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T01:00:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T01:15:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T01:30:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T01:45:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T02:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T02:15:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T02:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T02:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T03:00:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T03:15:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T03:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T03:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T04:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T04:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T04:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T04:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T05:00:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T05:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T05:30:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T05:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T06:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T06:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T06:30:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T06:45:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T07:00:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T07:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T07:30:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T07:45:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T08:00:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T08:15:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T08:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T08:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T09:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T09:15:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T09:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T09:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T10:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T10:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T10:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T10:45:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T11:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T11:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T11:30:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T11:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T12:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T12:15:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T12:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T12:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T13:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T13:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T13:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T13:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T14:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T14:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T14:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T14:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T15:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T15:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T15:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T15:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T16:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T16:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T16:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T16:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T17:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T17:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T17:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T17:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T18:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T18:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T18:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T18:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T19:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T19:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T19:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T19:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T20:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T20:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T20:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T20:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T21:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T21:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T21:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T21:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T22:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T22:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T22:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T22:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T23:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T23:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T23:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-30T23:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T00:00:00Z,3352.428182873907,3391.9580099015952,39.52982702768804,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T00:15:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T00:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T00:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T01:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T01:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T01:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T01:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T02:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T02:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T02:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T02:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T03:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T03:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T03:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T03:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T04:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T04:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T04:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T04:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T05:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T05:15:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T05:30:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T05:45:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T06:00:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T06:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T06:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T06:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T07:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T07:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T07:30:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T07:45:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T08:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T08:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T08:30:00Z,3352.5640242038994,3391.9580099015952,39.393985697695825,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T08:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T09:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T09:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T09:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T09:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T10:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T10:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T10:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T10:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T11:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T11:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T11:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T11:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T12:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T12:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T12:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T12:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T13:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T13:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T13:30:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T13:45:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T14:00:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
FB6a,2022-12-31T14:15:00Z,3352.2923415439154,3391.9580099015952,39.665668357679806,189.63449666890756,TRUE,NA,0.1.4
